Mid-point,Uncertainty,Time System,Source,#
2459474.934649159,0.0005812478543609174,BJD_TDB,TESS,1
2459476.026940301,0.0005205467285495732,BJD_TDB,TESS,1
2459477.11824486,0.0005309525508376516,BJD_TDB,TESS,1
2459478.2090222584,0.0004961340163843658,BJD_TDB,TESS,1
2459479.3007808845,0.0006974955660905973,BJD_TDB,TESS,1
2459480.392901756,0.0009865030523891912,BJD_TDB,TESS,1
2459481.483993937,0.001550019926236184,BJD_TDB,TESS,1
2459482.5748926573,0.000552934565602212,BJD_TDB,TESS,1
2459483.667424558,0.0012543678245227551,BJD_TDB,TESS,1
2459488.033275061,0.0005482258744932088,BJD_TDB,TESS,1
2459489.1230607936,0.000619020697870015,BJD_TDB,TESS,1
2459490.2150856694,0.0004654255973748281,BJD_TDB,TESS,1
2459491.3064496987,0.000508276455889272,BJD_TDB,TESS,1
2459492.3977051745,0.0023948700683201984,BJD_TDB,TESS,1
2459493.489293764,0.0004699912405480043,BJD_TDB,TESS,1
2459494.5811539143,0.0005125475836703333,BJD_TDB,TESS,1
2459495.6725079706,0.0005466244437423502,BJD_TDB,TESS,1
2459496.764046121,0.0007263323940470129,BJD_TDB,TESS,1
2459497.8552395483,0.00046965068463459473,BJD_TDB,TESS,1
