,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
0,CoRoT-01,SPOC,120, TEP  ,6.0,48.0,19.17,-3.0,6.0,7.8,13.6,12.15,0.10439,2.3,2454138.303971,3.6E-05,1.50897655,9E-08,2016MNRAS.459..789T,1.131,1.551,0.0189757201980067,36352297,13.0501,31.6632976858659,0.95,1.03,0.02536,3.97173811024293E-07,1.50897655
2,CoRoT-05,SPOC,120, TEP  ,6.0,45.0,6.54,0.0,48.0,54.9,14.0,12.55,0.117,1.4,2454400.19896,2E-05,4.0379156,1.2E-06,arXiv:1812.01536,1.115,1.256,0.0128035212379416,234112540,13.4831,14.658906117015900,0.99,0.459,0.0495,5.58246539113729E-09,4.0379156
8,EPIC_201498078,SPOC,120, TEP  ,10.0,52.0,7.78,0.0,29.0,36.1,10.61,8.89,0.23,0.3,2457906.83957,0.00049,11.63365,0.0001,arXiv:1806.04073,1.669,0.84,0.00255591131696631,281731203,9.9623,45.6782011444893,1.104,0.179,0.10376,3.62506694934744E-10,11.63365
9,EPIC_211442297,SPOC,120, TEP  ,8.0,26.0,12.83,12.0,16.0,55.0,13.34,11.72,0.1679,1.7,2457157.15701,0.00025,20.273034,3.6E-05,arXiv:1708.07128,0.881,1.114,0.0161331230784464,7020254,12.7462,37.1656195958323,0.831,0.84,0.1367,2.33354100987097E-11,20.273034
11,HAT-P-02,SPOC,120, TEP  ,16.0,20.0,36.36,41.0,2.0,53.1,8.71,7.6,0.1787,0.6,2455288.84969,0.00039,5.6334675,1.3E-06,arXiv:1702.03797,1.68,1.19,0.00506261896267361,39903405,8.27468,186.21373825818800,1.279,8.74,0.0674,1.36517403698666E-07,5.6334675
12,HAT-P-03,SPOC,120, TEP  ,13.0,44.0,22.59,48.0,1.0,43.2,11.86,9.45,0.08646,1.5,2457150.39472,0.00058,2.89973838,2.7E-07,2018A+A...613A..41M,0.85,0.911,0.0115904096179965,311035838,10.7164,90.74119832699140,0.925,0.595,0.03878,6.75664410783136E-09,2.89973838
13,HAT-P-04,SPOC,120, TEP  ,15.0,19.0,57.93,36.0,13.0,46.9,11.0,9.77,0.1775,0.9,2454245.81521,0.0002,3.0565254,1.2E-06,2012PASP..124..212S,1.6,1.337,0.00704567702840723,138294130,10.6506,81.13738125278230,1.271,0.68,0.04465,6.56381248194076E-08,3.0565254
14,HAT-P-05,SPOC,120, TEP  ,18.0,17.0,37.3,36.0,37.0,16.9,12.0,10.48,0.1217,1.5,2455432.4551,0.0001,2.7884736,5.2E-07,2012MNRAS.422.3099S,1.137,1.252,0.0122345390240329,76419763,11.3998,70.3977794661077,1.163,1.06,0.04079,3.18463859094325E-08,2.7884736
16,HAT-P-07,SPOC,120, TEP  ,19.0,28.0,59.36,47.0,58.0,10.3,10.46,9.33,0.1643,0.67,2454954.358557,6E-06,2.20473539,1E-08,arXiv:2103.03259,2.02,1.526,0.00575845809158171,424865156,10.0274,83.1722617519617,1.59,1.87,0.03805,1.02974153385409E-06,2.20473539
18,HAT-P-09,SPOC,120, TEP  ,7.0,20.0,40.48,37.0,8.0,26.2,12.3,11.02,0.143,1.3,2454417.9084,0.0006,3.922814,2E-06,2012NewA...17..438D,1.339,1.38,0.0107175841216651,371234684,11.7946,51.0397556380363,1.28,0.778,0.0529,1.31127674234119E-08,3.922814
19,HAT-P-11,SPOC,120, TEP  ,19.0,50.0,50.25,48.0,4.0,51.1,9.47,7.01,0.098,0.43,2454957.813207,5E-06,4.88780244,3E-08,2017A+A...597A.113H,0.683,0.389,0.0032730879667098300,28230919,8.5077,88.9911772717215,0.802,0.0873,0.05259,8.35079352657717E-11,4.88780244
22,HAT-P-14,SPOC,120, TEP  ,17.0,20.0,27.87,38.0,14.0,31.9,10.0,8.85,0.0907,0.5,2457138.21545,0.00029,4.6276594,1E-06,2016ApJ...819...27F,1.591,1.219,0.0059233437129668700,101721385,9.54417,59.8577506604614,1.418,2.271,0.06108,3.98746483240222E-08,4.6276594000000000
24,HAT-P-16,SPOC,120, TEP  ,0.0,38.0,17.56,42.0,27.0,47.0,10.8,9.55,0.1276,1.0,2455027.59292,0.00019,2.7759704,7E-07,2016PASP..128b4402S,1.158,1.19,0.0106555699931169,191284318,10.374,89.8985403468553,1.216,4.193,0.0413,1.24074928117977E-07,2.7759704
25,HAT-P-17,SPOC,120, TEP  ,21.0,38.0,8.88,30.0,29.0,19.4,10.54,8.54,0.16900000000000000,2.0,2454801.16943,0.0002,10.338523,9E-06,2012ApJ...749..134H,0.838,1.01,0.0146573207749016,266593143,9.7525,292.611304531324,0.857,0.534,0.0882,1.00170031125144E-10,10.338523
26,HAT-P-18,SPOC,120, TEP  ,17.0,5.0,23.28,33.0,0.0,45.0,12.76,10.23,0.1131,1.9,2454715.02254,0.00039,5.5080291,4.2E-06,2015MNRAS.451.4060S,0.717,0.947,0.017601980228759000,21744120,11.733000000000000,69.1235611877763,0.77,0.196,0.0559,1.83485728790868E-10,5.5080291
29,HAT-P-21,SPOC,120, TEP  ,11.0,25.0,5.88,41.0,1.0,40.6,11.69,10.11,0.153,1.1,2454996.41312,0.00069,4.124481,7E-06,2011ApJ...742..116B,1.105,1.024,0.008665133127200510,17993892,11.1065,69.7165665863023,0.947,4.063,0.0494,4.98854271112949E-08,4.1244810000000000
30,HAT-P-22,SPOC,120, TEP  ,10.0,22.0,43.51,50.0,7.0,42.0,9.73,7.84,0.1196,1.5,2456366.08903,0.00025,3.212233,4E-07,arXiv:2012.07478,1.062,1.06,0.0100522337566188,252479260,9.007,270.736863986475,0.936,2.192,0.04171,5.20339196148198E-08,3.2122330000000000
