System,TIC,TESSMag,SNR
CoRoT-01,36352297,13.05,31.66
CoRoT-02,391958006,11.67,111.23
CoRoT-05,234112540,13.48,14.66
CoRoT-06,130502317,13.25,22.67
CoRoT-09,130162252,12.95,42.66
CoRoT-10,405010127,13.82,11.56
CoRoT-11,110178537,12.42,26.13
CoRoT-14,282706928,15.21,1.43
EPIC_201498078,281731203,9.96,45.68
EPIC_211442297,7020254,12.75,37.17
HAT-P-01,346338552,9.76,207.62
HAT-P-02,39903405,8.27,186.21
HAT-P-03,311035838,10.72,90.74
HAT-P-04,138294130,10.65,81.14
HAT-P-05,76419763,11.40,70.40
HAT-P-06,176899385,10.00,119.13
HAT-P-07,424865156,10.03,83.17
HAT-P-08,188876052,9.78,98.01
HAT-P-09,371234684,11.79,51.04
HAT-P-11,28230919,8.51,88.99
HAT-P-12,198108326,11.76,66.54
HAT-P-13,20096620,9.96,93.29
HAT-P-14,101721385,9.54,59.86
HAT-P-15,353459965,11.09,101.87
HAT-P-16,191284318,10.37,89.90
HAT-P-17,266593143,9.75,292.61
HAT-P-18,21744120,11.73,69.12
HAT-P-19,267650535,11.95,70.79
HAT-P-20,26826078,10.28,139.79
HAT-P-21,17993892,11.11,69.72
HAT-P-22,252479260,9.01,270.74
HAT-P-23,305243225,11.73,58.64
HAT-P-24,440777904,11.31,67.20
HAT-P-25,35022727,12.22,49.63
HAT-P-26,420779000,10.90,35.29
HAT-P-27,461239485,11.41,53.36
HAT-P-28,53728859,12.34,39.23
HAT-P-29,250707118,11.28,50.03
HAT-P-30,455135327,9.94,124.50
HAT-P-31,320798691,11.03,40.17
HAT-P-32,292152376,10.77,215.19
HAT-P-33,239154970,10.71,106.08
HAT-P-34,278348461,9.87,101.65
HAT-P-35,455096220,11.90,47.01
HAT-P-36,373693175,11.63,66.93
HAT-P-37,267572272,12.77,34.37
HAT-P-38,285272237,11.75,45.61
HAT-P-39,14770122,11.89,44.78
HAT-P-40,199671901,10.97,35.61
HAT-P-41,398895470,10.55,74.90
HAT-P-42,270468559,11.56,39.76
HAT-P-43,468987719,12.77,32.92
HAT-P-44,168699373,12.45,50.14
HAT-P-45,167227214,11.70,63.02
