System,Cadence,Source,Sector
CoRoT-01,120,SPOC,33
CoRoT-01,120,SPOC,6
EPIC_201498078,120,SPOC,9
EPIC_201498078,120,SPOC,35
EPIC_211442297,120,SPOC,34
EPIC_211442297,120,SPOC,7
HAT-P-02,120,SPOC,24
HAT-P-02,120,SPOC,25
HAT-P-03,120,SPOC,16
HAT-P-03,120,SPOC,22
HAT-P-04,120,SPOC,24
HAT-P-05,120,SPOC,40
HAT-P-05,120,SPOC,26
HAT-P-06,1800,TESS-SPOC,16
HAT-P-06,1800,TESS-SPOC,17
HAT-P-07,120,SPOC,40
HAT-P-07,120,SPOC,41
HAT-P-07,120,SPOC,14
HAT-P-07,120,SPOC,15
HAT-P-09,120,SPOC,20
HAT-P-11,120,SPOC,41
HAT-P-11,120,SPOC,14
HAT-P-11,120,SPOC,15
HAT-P-12,1800,TESS-SPOC,16
HAT-P-12,120,SPOC,23
HAT-P-14,120,SPOC,25
HAT-P-14,120,SPOC,26
HAT-P-16,120,SPOC,17
HAT-P-17,120,SPOC,15
HAT-P-18,120,SPOC,25
HAT-P-18,120,SPOC,26
HAT-P-19,1800,TESS-SPOC,17
HAT-P-21,120,SPOC,22
HAT-P-22,120,SPOC,21
HAT-P-24,120,SPOC,7
HAT-P-24,120,SPOC,33
HAT-P-25,120,SPOC,43
HAT-P-25,120,SPOC,42
HAT-P-25,1800,TESS-SPOC,18
HAT-P-29,1800,TESS-SPOC,18
HAT-P-30,120,SPOC,7
HAT-P-30,120,SPOC,34
HAT-P-31,120,SPOC,40
HAT-P-31,120,SPOC,26
HAT-P-32,1800,TESS-SPOC,18
HAT-P-33,120,SPOC,20
HAT-P-34,120,SPOC,41
HAT-P-34,120,SPOC,14
HAT-P-35,120,SPOC,7
HAT-P-35,120,SPOC,34
HAT-P-36,120,SPOC,22
HAT-P-38,1800,TESS-SPOC,18
HAT-P-40,1800,TESS-SPOC,16
HAT-P-42,120,SPOC,8
HAT-P-42,120,SPOC,34
HAT-P-43,120,SPOC,34
HAT-P-43,120,SPOC,7
HAT-P-44,1800,TESS-SPOC,16
HAT-P-44,120,SPOC,23
HAT-P-47,1800,TESS-SPOC,18
HAT-P-48,1800,TESS-SPOC,18
HAT-P-49,120,SPOC,41
HAT-P-49,1800,TESS-SPOC,14
HAT-P-50,120,SPOC,7
HAT-P-50,120,SPOC,34
HAT-P-52,120,SPOC,42
HAT-P-52,120,SPOC,43
HAT-P-54,120,SPOC,43
HAT-P-55,120,SPOC,25
HAT-P-55,120,SPOC,26
HAT-P-56,120,SPOC,43
HAT-P-58,1800,TESS-SPOC,19
HAT-P-59,1800,TESS-SPOC,14
HAT-P-59,1800,TESS-SPOC,15
HAT-P-59,1800,TESS-SPOC,16
HAT-P-59,1800,TESS-SPOC,17
HAT-P-59,1800,TESS-SPOC,18
HAT-P-59,1800,TESS-SPOC,20
HAT-P-59,1800,TESS-SPOC,21
HAT-P-59,1800,TESS-SPOC,22
HAT-P-59,120,SPOC,23
HAT-P-59,120,SPOC,24
HAT-P-59,120,SPOC,25
HAT-P-59,120,SPOC,26
HAT-P-59,120,SPOC,41
HAT-P-60,1800,TESS-SPOC,18
HAT-P-64,1800,TESS-SPOC,5
HAT-P-64,600,TESS-SPOC,32
HAT-P-66,120,SPOC,21
HAT-P-67,120,SPOC,24
HAT-P-67,120,SPOC,26
HAT-P-69,120,SPOC,34
HAT-P-69,1800,TESS-SPOC,7
HAT-P-70,120,SPOC,32
HAT-P-70,1800,TESS-SPOC,5
HATS-01,120,SPOC,10
HATS-01,120,SPOC,36
HATS-02,120,SPOC,36
HATS-02,120,SPOC,10
HATS-03,120,SPOC,1
HATS-04,120,SPOC,33
HATS-04,120,SPOC,6
HATS-05,120,SPOC,5
HATS-05,120,SPOC,32
HATS-06,120,SPOC,32
HATS-06,120,SPOC,33
HATS-06,120,SPOC,6
HATS-13,120,SPOC,28
HATS-13,120,SPOC,1
HATS-14,120,SPOC,1
HATS-14,120,SPOC,28
HATS-16,120,SPOC,2
HATS-16,120,SPOC,29
HATS-17,120,SPOC,37
HATS-17,120,SPOC,10
HATS-17,120,SPOC,11
HATS-18,120,SPOC,10
HATS-18,120,SPOC,36
HATS-19,120,SPOC,9
HATS-19,120,SPOC,35
HATS-19,120,SPOC,36
HATS-21,120,SPOC,13
