System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
CoRoT-01,-1412,2454138.32761,0.00047,BJD,1,2009A&A...506..369B
CoRoT-01,-1411,2454139.83712,0.00059,BJD,1,2009A&A...506..369B
CoRoT-01,-1410,2454141.34485,0.00062,BJD,1,2009A&A...506..369B
CoRoT-01,-1409,2454142.85425,0.00039,BJD,1,2009A&A...506..369B
CoRoT-01,-1408,2454144.36411,0.00163,BJD,1,2009A&A...506..369B
CoRoT-01,-1407,2454145.87255,0.00042,BJD,1,2009A&A...506..369B
CoRoT-01,-1406,2454147.38076,0.00048,BJD,1,2009A&A...506..369B
CoRoT-01,-1405,2454148.88942,0.00038,BJD,1,2009A&A...506..369B
CoRoT-01,-1404,2454150.39899,0.00026,BJD,1,2009A&A...506..369B
CoRoT-01,-1403,2454151.90798,0.00045,BJD,1,2009A&A...506..369B
CoRoT-01,-1402,2454153.41661,0.00041,BJD,1,2009A&A...506..369B
CoRoT-01,-1401,2454154.92615,0.00035,BJD,1,2009A&A...506..369B
CoRoT-01,-1400,2454156.43527,0.00026,BJD,1,2009A&A...506..369B
CoRoT-01,-1399,2454157.94481,0.00073,BJD,1,2009A&A...506..369B
CoRoT-01,-1398,2454159.45331,0.0005,BJD,1,2009A&A...506..369B
CoRoT-01,-1397,2454160.96252,0.00029,BJD,1,2009A&A...506..369B
CoRoT-01,-1396,2454162.47066,0.00045,BJD,1,2009A&A...506..369B
CoRoT-01,-1395,2454163.97926,0.00044,BJD,1,2009A&A...506..369B
CoRoT-01,-1394,2454165.48852,0.00047,BJD,1,2009A&A...506..369B
CoRoT-01,-1393,2454166.99747,0.00054,BJD,1,2009A&A...506..369B
CoRoT-01,-1392,2454168.50619,0.00028,BJD,1,2009A&A...506..369B
CoRoT-01,-1391,2454170.01596,0.0002,BJD,1,2009A&A...506..369B
CoRoT-01,-1390,2454171.52372,0.00028,BJD,1,2009A&A...506..369B
CoRoT-01,-1389,2454173.03365,0.00026,BJD,1,2009A&A...506..369B
CoRoT-01,-1388,2454174.5424,0.00033,BJD,1,2009A&A...506..369B
CoRoT-01,-1387,2454176.05183,0.00026,BJD,1,2009A&A...506..369B
CoRoT-01,-1386,2454177.56026,0.00023,BJD,1,2009A&A...506..369B
